'ch|’ch	<i>det</i><br><ol><li>your (used after vowels).</li></ol>
'chi|’chi	<i>intj</i><br><ol><li>(colloquial, chiefly North Wales) you know, y'know (conversational filler; plural or polite)</li></ol>
'dda	<i>verb</i><br><ol><li>Contraction of bydda.</li></ol>
'i|’i	<i>det</i><br><ol><li>Contraction of ei (“his, her”).</li></ol>
'm|’m	<i>det</i><br><ol><li>(literary) Alternative form of fy (“my”), used after vowels</li></ol>
'ma|y ... 'ma	<i>adv</i><br><ol><li>(colloquial) here</li></ol><br><i>det</i><br><ol><li>this</li></ol>
'mond	<i>abbrev</i><br><ol><li>(colloquial) Contraction of dim ond (“nothing but; only”).</li></ol>
'n|’n	<i>det</i><br><ol><li>our (used after vowels).</li></ol>
'na|’na|y ... ’na	<i>det</i><br><ol><li>that</li></ol>
'r|’r	<i>article</i><br><ol><li>Contraction of yr (used after vowels)</li></ol>
'sti|’sti	<i>intj</i><br><ol><li>(colloquial, chiefly North Wales) you know, y'know (conversational filler; singular informal)</li></ol>
'u|’u	<i>det</i><br><ol><li>Contraction of eu (“their”).</li></ol>
'w|’w	<i>det</i><br><ol><li>Only used in i'w</li></ol>
... ydw i	<i>phrase</i><br><ol><li>my name is ... ((literally) I am ...)</li></ol>
50fed	<i>adj</i><br><ol><li>Abbreviation of hanner canfed.: 50th</li></ol>
A|a|afal|hafal	<i>character</i><br><ol><li>The first letter of the Welsh alphabet, called a and written in the Latin script. It is followed by B.</li></ol>
AC|HaCau|ACau	<i>noun</i><br><ol><li>(politics) Initialism of Aelod Cynulliad.</li></ol>
AHNE	<i>noun</i><br><ol><li>Initialism of ardal o harddwch naturiol eithriadol (“area of outstanding natural beauty”).</li></ol>
AS|ASau	<i>noun</i><br><ol><li>(politics) Initialism of Aelod Seneddol (“Member of (the UK) Parliament”).</li><li>(politics) Initialism of Aelod o'r Senedd (“Member of the (Welsh) Senedd”).</li></ol>
Aberaeron|Haberaeron	<i>name</i><br><ol><li>Aberaeron (a town in Ceredigion county borough, Wales)</li></ol>
Aberafan|Haberafan	<i>name</i><br><ol><li>Aberavon (a town in Neath Port Talbot county borough, Wales)</li></ol>
Aberdaugleddau|Haberdaugleddau	<i>name</i><br><ol><li>Milford Haven (a town in Pembrokeshire county borough, Wales)</li></ol>
Aberdâr|Haberdâr	<i>name</i><br><ol><li>Aberdare (a town in Rhondda Cynon Taf county borough, Wales)</li></ol>
Abergwaun|Habergwaun	<i>name</i><br><ol><li>Fishguard (a town in Pembrokeshire county borough, Wales)</li></ol>
Aberhonddu|Haberhonddu	<i>name</i><br><ol><li>Brecon (a town in Powys county borough, Wales)</li></ol>
